epoch,train_psnr,test_psnr,train_loss
1,6.732684961229569,6.456786626984796,0.2348252572119236
2,6.589675508458534,6.477064855369505,0.2101850025355816
3,6.654380622989288,6.498379551645376,0.23048176616430283
4,6.640141326584151,6.51916172067323,0.21562103182077408
5,6.791462497701468,6.539409892908859,0.2110196091234684
6,6.534064563208689,6.559971550780983,0.21203890815377235
7,6.695873072092088,6.5810742480086155,0.22341322526335716
8,6.61111620732056,6.60132147837965,0.20910663902759552
9,6.777941898336379,6.622223663813225,0.22113466262817383
10,6.6491978918703065,6.642645880647857,0.21248962730169296
11,6.889502222957211,6.663553580770535,0.22004250809550285
12,6.563981456457354,6.684563627824333,0.22176793590188026
13,6.764788365636494,6.70534302999851,0.2147441804409027
14,6.643877260307604,6.726163254234633,0.21444321051239967
15,6.880252780218171,6.74601782033422,0.1970428265631199
16,7.039935426766647,6.765930995699478,0.200064267963171
17,7.010115912374383,6.786392553106745,0.20882583409547806
18,6.864356537794056,6.806319675574075,0.20072989910840988
19,7.143766056365235,6.826343015882168,0.19958137720823288
20,7.272266931975739,6.846365180562448,0.2013598307967186
21,7.051736532721802,6.867234372297299,0.21431295573711395
22,6.92352457167325,6.88702606942765,0.19621369987726212
23,6.962650035517099,6.906637903099133,0.19398710504174232
24,6.959719934854698,6.926973016346867,0.20426268875598907
25,7.354465775237538,6.947325286725939,0.20150753110647202
26,7.211019826787669,6.966743602714331,0.18945451825857162
27,7.00475567184027,6.986102348900919,0.18330788239836693
28,7.188068412542123,7.006095998799536,0.19529850035905838
29,7.033924718362213,7.025978184173519,0.19536231458187103
30,7.221603733183333,7.0459249308738245,0.19862226396799088
31,7.228831049604543,7.047899336522471,0.19076715037226677
32,6.958826361017966,7.049866766058183,0.1859624981880188
33,7.056645768151688,7.051808828372966,0.1857708841562271
34,6.964513231492555,7.053781970787586,0.19486525654792786
35,7.216855634324967,7.0557727653279665,0.19533055648207664
36,7.203318039360413,7.057759542578486,0.192977923899889
37,6.970993349092851,7.059752490517344,0.19565539434552193
38,7.351593022593816,7.061757867995202,0.19618675485253334
39,7.2913923735534105,7.063713813745897,0.19040970131754875
40,7.290729554271441,7.065696654364363,0.18999092280864716
41,7.2767957447870435,7.067785821835084,0.20995459705591202
42,7.164930183235351,7.069728994036785,0.18684495240449905
43,7.378222816088248,7.071760088316288,0.2002737559378147
44,7.351933097554799,7.07374264806713,0.19204938784241676
45,7.056776501051851,7.075753177288302,0.1957848221063614
46,7.159636399322949,7.077785440530659,0.20214556530117989
47,7.049778246520637,7.079736726920616,0.18765762820839882
48,7.2798294017841485,7.081811838682047,0.20447106286883354
49,7.336418344598481,7.083746087832954,0.18592707812786102
50,7.17284959089389,7.085742729072147,0.1949239894747734
51,7.552460636646609,7.087741612525851,0.19616105407476425
52,7.030640930467758,7.089784792661835,0.20458536595106125
53,7.368420086685384,7.091731872294293,0.18969617784023285
54,7.12022678393157,7.093732189171041,0.1947954222559929
55,7.244832334505302,7.095703586426431,0.19107788801193237
56,7.292332019432693,7.09768085477347,0.19046564400196075
57,7.2695361130235945,7.099672298638497,0.19061530753970146
58,7.374522184304372,7.101706159426144,0.20064355432987213
59,7.04546795432615,7.103700779084549,0.19469570368528366
60,7.095567777454748,7.105693988915602,0.1934269815683365
61,7.432610719321227,7.105896052245346,0.1962657868862152
62,7.294376923426965,7.106093804244457,0.1882806308567524
63,7.262436998071173,7.106280929133366,0.17667461931705475
64,7.090556873099547,7.1064863437118735,0.20516876876354218
65,7.282336816604633,7.106683790182766,0.1935465931892395
66,7.175446865568327,7.106882575327468,0.1890007220208645
67,7.294632636556333,7.1070876859256025,0.19839433580636978
68,7.227556000845636,7.107289149200755,0.19596169516444206
69,7.220440209648164,7.107482310060327,0.18623653054237366
70,7.000335220813758,7.10768046678837,0.19301926717162132
71,7.424183239610491,7.107878632558177,0.19145389646291733
72,7.381769876752481,7.108080465044383,0.19372355192899704
73,7.429134704683118,7.108280644254259,0.19230209663510323
74,6.9549463449307805,7.108478172319458,0.18678675219416618
75,7.229970473046479,7.108677372177051,0.19380228221416473
76,7.267087513189027,7.108881569828236,0.19904817640781403
77,7.086031944355857,7.1090714756088165,0.17894088476896286
78,7.334348806325799,7.109272365717947,0.19568829238414764
79,7.526006036231276,7.109473597742621,0.19466639310121536
80,7.015473540976906,7.109677167558768,0.19480129703879356
81,7.155046621295574,7.1098767550735715,0.19211778044700623
82,7.043590269073906,7.110068367717554,0.18233437463641167
83,7.181936274234433,7.110265311744923,0.19011498987674713
84,7.108850155760251,7.1104542799505985,0.18183934316039085
85,6.901640603638622,7.110652239618109,0.1919078752398491
86,7.443088391478906,7.110847546485639,0.19012273848056793
87,7.294675605392431,7.111042862136724,0.18468689545989037
88,7.2924860295719345,7.111237521056605,0.18391477689146996
89,7.170368511364738,7.11143252147453,0.18614429980516434
90,7.374226777193703,7.111634186406201,0.19832925871014595
