onnx_latency,fallback_latency,output_dir,slowest_device,all,input_shape,output_shape,error,device,file_name,file_path,pruning,time_cost,params,IR,MACs
110.03,inf,./3627f9e6-87dc-4d,R38M20BDTME,"{'R38M20BDTME': {'latency': 110.03, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 300, 300]}","{'output': [1, 1, 1200, 1200]}",,R38M20BDTME,SuperResolutionTwitter.onnx,../dnnModels/SuperResolutionTwitter.onnx,1.0,11.06552529335022,61680,31680000,5549760000.0
28.153,54.659,./c82b451e-daa2-4c,R38M20BDTME,"{'R38M20BDTME': {'latency': 28.153, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 54.659}}","{'input': [1, 1, 300, 300]}","{'output': [1, 1, 1200, 1200]}",,R38M20BDTME,SuperResolutionTwitter.onnx,../dnnModels/SuperResolutionTwitter.onnx,0.0,24.625094175338745,61680,31680000,5549760000
109.976,inf,./98bd4d8d-0a8e-4a,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 109.976, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 300, 300]}","{'output': [1, 1, 1200, 1200]}",,RF8M21Y9MNR,SuperResolutionTwitter.onnx,../dnnModels/SuperResolutionTwitter.onnx,1.0,11.087872505187988,61680,31680000,5549760000.0
28.14,54.003,./77f77df5-730b-49,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 28.14, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 54.003}}","{'input': [1, 1, 300, 300]}","{'output': [1, 1, 1200, 1200]}",,RF8M21Y9MNR,SuperResolutionTwitter.onnx,../dnnModels/SuperResolutionTwitter.onnx,0.0,25.195005655288696,61680,31680000,5549760000
